SowID,Treatment,FarrowDate,Onset,Piglet,End,FarrowTime,Induce,DueDate,GestationLength,TNB,SB,SB_perc,Trt1,tr2
3806,1,803,8:10:00 AM,1,17:30:00,9:20:00,0,801,117,12,0,0,7-10,2-5
4011,1,822,6:57:00 AM,1,18:30:00,11:33:00,0,821,116,15,3,0.2,,
4085,1,814,11:00:00 AM,1,16:11:00,5:11:00,0,812,117,16,1,0.0625,,
4341,1,811,10:00:00 AM,1,17:58:00,7:58:00,1,808,118,#N/A,#N/A,#N/A,,
4438,1,803,10:04:00 AM,1,14:32:00,4:28:00,0,802,116,15,0,0,,
4538,1,795,1:39:00 AM,1,22:30:00,20:51:00,0,795,115,20,2,0.1,,
4718,1,803,12:44:00 PM,1,21:23:00,8:39:00,0,801,117,13,0,0,,
5074,1,825,4:10:00 PM,1,22:03:00,5:53:00,0,826,114,18,2,0.111111111,,
5084,1,802,1:45:00 PM,1,18:33:00,4:48:00,0,800,117,#N/A,#N/A,#N/A,,
5084,1,801,1:45:00 PM,1,20:20:00,6:35:00,0,800,116,#N/A,#N/A,#N/A,,
5087,1,801,4:14:00 PM,1,20:22:00,4:08:00,0,801,115,15,1,0.066666667,,
5155,1,814,3:46:00 PM,1,1:59:00,10:13:00,0,812,117,18,5,0.277777778,,
5382,1,804,2:26:00 PM,1,19:01:00,4:35:00,0,802,117,14,2,0.142857143,,
5605,1,823,1:06:00 PM,1,23:10:00,10:04:00,0,821,117,18,2,0.111111111,,
5796,1,809,9:35:00 AM,1,22:09:00,12:34:00,0,807,117,19,2,0.105263158,,
5838,1,796,9:34:00 AM,1,16:50:00,7:16:00,0,795,116,16,1,0.0625,,
5913,1,798,4:20:00 PM,1,20:39:00,4:19:00,0,798,115,13,1,0.076923077,,
5998,1,824,9:22:00 AM,1,12:35:00,3:13:00,0,822,117,12,0,0,,
6152,1,821,9:25:00 PM,1,2:56:00,5:31:00,0,819,117,11,0,0,,
6309,1,813,12:02:00 PM,1,4:09:00,16:07:00,0,812,116,19,1,0.052631579,,
6392,1,816,6:10:00 AM,1,18:15:00,12:05:00,0,815,116,16,3,0.1875,,
6464,1,798,7:04:00 PM,1,2:09:00,7:05:00,0,796,117,19,5,0.263157895,,
6495,1,827,12:00:00 PM,1,19:22:00,7:22:00,0,826,116,20,5,0.25,,
6632,1,820,4:47:00 PM,1,23:53:00,7:06:00,0,819,116,21,1,0.047619048,,
6655,1,796,8:38:00 AM,1,20:34:00,11:56:00,0,795,116,13,3,0.230769231,,
6798,1,814,7:31:00 AM,1,16:12:00,8:41:00,0,812,117,17,5,0.294117647,,
6811,1,802,2:39:00 PM,1,18:06:00,3:27:00,0,801,116,15,1,0.066666667,,
6928,1,814,4:15:00 AM,1,7:38:00,3:23:00,0,815,114,17,3,0.176470588,,
6946,1,815,8:54:00 AM,1,13:48:00,4:54:00,0,812,118,20,3,0.15,,
7149,1,816,9:38:00 PM,1,2:52:00,5:14:00,0,815,116,13,2,0.153846154,,
7217,1,826,5:05:00 PM,1,22:13:00,5:08:00,0,826,115,16,0,0,,
7298,1,823,4:15:00 PM,1,21:16:00,5:01:00,0,822,116,18,4,0.222222222,,
7433,1,811,11:18:00 AM,1,18:46:00,7:28:00,0,811,115,9,0,0,,
7562,1,827,4:30:00 PM,1,19:11:00,2:41:00,0,826,116,10,0,0,,
7643,1,820,7:02:00 PM,1,7:17:00,12:15:00,0,822,113,18,2,0.111111111,,
7722,1,807,11:02:00 AM,1,15:11:00,4:09:00,0,807,115,14,2,0.142857143,,
7725,1,820,11:58:00 PM,1,7:10:00,7:12:00,0,821,114,20,5,0.25,,
7744,1,800,8:07:00 PM,1,14:45:00,18:38:00,0,798,117,18,2,0.111111111,,
7930,1,810,9:43:00 PM,1,1:54:00,4:11:00,0,811,114,15,4,0.266666667,,
7965,1,809,12:24:00 AM,1,14:00:00,13:36:00,0,807,117,19,1,0.052631579,,
7988,1,796,1:03:00 AM,1,23:42:00,22:39:00,0,795,116,17,0,0,,
8091,1,799,12:49:00 PM,1,21:55:00,9:06:00,0,798,116,20,1,0.05,,
8182,1,823,5:34:00 AM,1,14:31:00,8:57:00,0,821,117,22,2,0.090909091,,
8253,1,796,1:34:00 AM,1,5:49:00,4:15:00,0,796,115,18,2,0.111111111,,
8358,1,825,9:41:00 PM,1,13:49:00,16:08:00,0,822,118,17,1,0.058823529,,
8469,1,819,12:18:00 PM,1,20:08:00,7:50:00,0,819,115,13,1,0.076923077,,
8648,1,814,6:31:00 AM,1,9:20:00,2:49:00,0,811,118,15,6,0.4,,
8686,1,811,11:24:00 PM,1,6:03:00,6:39:00,0,811,115,19,3,0.157894737,,
8696,1,801,3:49:00 PM,1,2:30:00,10:41:00,0,798,118,25,9,0.36,,
8704,1,813,11:49:00 AM,1,18:31:00,6:42:00,0,811,117,21,3,0.142857143,,
8742,1,805,6:14:00 PM,1,1:04:00,6:50:00,0,804,116,27,2,0.074074074,,
8762,1,801,8:14:00 PM,1,8:15:00,12:01:00,0,798,118,15,2,0.133333333,,
9088,1,816,2:37:00 PM,1,7:53:00,17:16:00,0,815,116,#N/A,#N/A,#N/A,,
9180,1,814,4:40:00 AM,1,7:17:00,2:37:00,0,812,117,5,1,0.2,,
9198,1,826,3:45:00 PM,1,22:12:00,6:27:00,0,826,115,24,2,0.083333333,,
9229,1,802,4:28:00 PM,1,21:15:00,4:47:00,0,801,116,8,0,0,,
9274,1,807,6:01:00 AM,1,11:48:00,5:47:00,0,805,117,15,2,0.133333333,,
9341,1,821,4:15:00 AM,1,9:12:00,4:57:00,0,819,117,13,1,0.076923077,,
9416,1,817,7:05:00 PM,1,3:33:00,8:28:00,0,814,118,16,0,0,,
9422,1,821,3:22:00 PM,1,23:37:00,8:15:00,0,819,117,18,4,0.222222222,,
