SowID,Treatment,FarrowDate,Onset,Piglet,End,FarrowTime,Induce,DueDate,GestationLength,TNB,SB,SB_perc,Start_H,Start_M,Start_Minutes,Finish_H,Finish_M,Finish_Minutes,Duration,Factor
3806,1,803,1899-12-31T08:10:00Z,1,1899-12-31T17:30:00Z,1899-12-31T09:20:00Z,0,801,117,12,0,0,08,10,490,17,30,1050,560,1
4011,1,822,1899-12-31T06:57:00Z,1,1899-12-31T18:30:00Z,1899-12-31T11:33:00Z,0,821,116,15,3,0.2,06,57,417,18,30,1110,693,1
4085,1,814,1899-12-31T11:00:00Z,1,1899-12-31T16:11:00Z,1899-12-31T05:11:00Z,0,812,117,16,1,0.0625,11,00,660,16,11,971,311,1
4438,1,803,1899-12-31T10:04:00Z,1,1899-12-31T14:32:00Z,1900-01-01T04:28:00Z,0,802,116,15,0,0,10,04,604,14,32,872,268,1
4538,1,795,1899-12-31T01:39:00Z,1,1899-12-31T22:30:00Z,1900-01-01T20:51:00Z,0,795,115,20,2,0.1,01,39,99,22,30,1350,1251,1
4718,1,803,1899-12-31T12:44:00Z,1,1899-12-31T21:23:00Z,1900-01-01T08:39:00Z,0,801,117,13,0,0,12,44,764,21,23,1283,519,1
5074,1,825,1899-12-31T16:10:00Z,1,1899-12-31T22:03:00Z,1900-01-01T05:53:00Z,0,826,114,18,2,0.1111111111111111,16,10,970,22,03,1323,353,1
5087,1,801,1899-12-31T16:14:00Z,1,1899-12-31T20:22:00Z,1900-01-01T04:08:00Z,0,801,115,15,1,0.06666666666666667,16,14,974,20,22,1222,248,1
5155,1,814,1899-12-31T15:46:00Z,1,1899-12-31T01:59:00Z,1899-12-31T10:13:00Z,0,812,117,18,5,0.2777777777777778,15,46,946,01,59,119,613,1
5382,1,804,1899-12-31T14:26:00Z,1,1899-12-31T19:01:00Z,1900-01-01T04:35:00Z,0,802,117,14,2,0.14285714285714285,14,26,866,19,01,1141,275,1
5605,1,823,1899-12-31T13:06:00Z,1,1899-12-31T23:10:00Z,1900-01-01T10:04:00Z,0,821,117,18,2,0.1111111111111111,13,06,786,23,10,1390,604,1
5796,1,809,1899-12-31T09:35:00Z,1,1899-12-31T22:09:00Z,1900-01-01T12:34:00Z,0,807,117,19,2,0.10526315789473684,09,35,575,22,09,1329,754,1
5838,1,796,1899-12-31T09:34:00Z,1,1899-12-31T16:50:00Z,1900-01-01T07:16:00Z,0,795,116,16,1,0.0625,09,34,574,16,50,1010,436,1
5913,1,798,1899-12-31T16:20:00Z,1,1899-12-31T20:39:00Z,1900-01-01T04:19:00Z,0,798,115,13,1,0.07692307692307693,16,20,980,20,39,1239,259,1
5998,1,824,1899-12-31T09:22:00Z,1,1899-12-31T12:35:00Z,1900-01-01T03:13:00Z,0,822,117,12,0,0,09,22,562,12,35,755,193,1
6152,1,821,1899-12-31T21:25:00Z,1,1899-12-31T02:56:00Z,1899-12-31T05:31:00Z,0,819,117,11,0,0,21,25,1285,02,56,176,331,1
6309,1,813,1899-12-31T12:02:00Z,1,1899-12-31T04:09:00Z,1899-12-31T16:07:00Z,0,812,116,19,1,0.05263157894736842,12,02,722,04,09,249,967,1
6392,1,816,1899-12-31T06:10:00Z,1,1899-12-31T18:15:00Z,1900-01-01T12:05:00Z,0,815,116,16,3,0.1875,06,10,370,18,15,1095,725,1
